nombre,direccion,codigo postal,pais,telefono,actividades
J.A.M. GLOBAL BUSSINES E.I.R.L,Jr.Punkari Nor.1574 Alt Cdra. 15 Av El Santuario,15001 Lima,Peru,+51 1 3862021,Estampado de tejidos e hilos: (Productor) Servicios de estampado de tejidos de fibras químicasTejidos revestidos y encerados: (Productor) Servicios de gofrado y calandrado de tejidos
ARAWAK SOCIEDAD ANONIMA CERRADA-ARAWAK S.A.C,Av. Reducto Nor.1162 A Media Cuadra. Panaderia San Antonio,15001 Lima,Peru,+51 1 2429404,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
GACIEL S.A.C,Jr.Montevideo Nor.883 Entre Andahuaylas Y Montevideo,15001 Lima,Peru,+51 1 4262466,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CRUZ EDITORES E INVERSIONES S.A.C,Pj.Echenique Nor.1123 Altura Cdra.6 De Jr.Pedro Ruiz,15001 Lima,Peru,+51 1 3310608,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
SERVICIOS GRAFICOS LAU E.I.R.L,Jr.Rufino Torrico Nor.477,15001 Lima,Peru,+51 1 274221,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
TELAS& MODAS S.A.C,Jr.Giribaldi Nor.667 Urb San Pablo,15001 Lima,Peru,+51 1 3255884,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
KINKY S.R. LTDA.,Cl. Vasco Nunez De Balboa Nor.224,15001 Lima,Peru,+51 1 4442766,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
INDUSTRIAS FASMEN S.A,Jr.Francia Nor.1577 Galeria San Pedro,15001 Lima,Peru,+51 1 4781543,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para trajes
INVERSIONES ROBELLA S.A.C,Av. Del Aire Nor.913,15001 Lima,Peru,+51 1 7942082,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
9 FRUITS E.I.R.L,Jr.Humboldt Nor.1428,15001 Lima,Peru,+51 1 4450518,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TEXTIL CABOBLANCO S.A.C.,Av.Los Eucaliptos Mza. E Lote. 2 As Huertos De St Genoveva,15001 Lima,Peru,+51 1 4303131,Hilos y torcidos de fibras químicas/Hilos y torcidos de seda/Hilos y torcidos de lana y pelo/Hilos y torcidos de algodón/Hilos y torcidos de fibras de lino/Tejidos de fibras químicas/Tejidos de lino/
TEXTIL CHAVIN S.A.C.,Jr.Luis Giribaldi Nro 495 Dpto. 303,15001 Lima,Peru,+51 1 3233462,"Hilos, costura y bordados: (Productor) Hilos de coser para crochés y bordados"
CONSORCIO ROBRISA S.A.,"Cl. Los Duraznos 551, Urb. Canto Grande",15001 Lima,Peru,+51 1 3886861,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
CANAAN TRADING E.I.R.L,Prolon Parinacochas Blof Nor.760 Alt. De Isabel La Catolica Y Parinacocha,15001 Lima,Peru,+51 946100024,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
ETIQUETAS Y ENVOLTURAS S.A.C,Av. Michael Faraday Nor.298 Frente A La Salchicheria Breth,15001 Lima,Peru,+51 1 2247604,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
ADRIANLETT FASHION S.A.C,Jr.Hipolito Unanue Nor.1590 Galer Centro Gamarra,15001 Lima,Peru,+51 1 3235740,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
DEALER TEXTIL S.R.L,Jr.Antonio Bazo Nor.572 Galeria Julio S,15001 Lima,Peru,+51 1 3245951,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
PERU NEGOCIOS & OFERTA S.C.R.L,Jr.Cailloma Nor.543 Entre Jr .Moquegua Y Emancipacion,15001 Lima,Peru,+51 1 5852007,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
GOGOS SPORT S.A.C,Jr Washington # 13-45 piso 3 Tienda 3 A - 107,15001 Lima,Peru,+51 1 715 5505,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
BAHLLIKA SAC,Av.Larco Herrera Nro 1072 Int. 301,15001 Lima,Peru,+51 1 4628463,Hilos y torcidos de fibras químicas/Hilos y torcidos de seda/Hilos y torcidos de lana y pelo/Hilos y torcidos de algodón/Hilos y torcidos de fibras de lino/Tejidos de fibras químicas/Tejidos de lino/
PERU INNOVACIONES Y MODAS TEXTILES S.A.C.,"Av.Aviacion 436, Piso 2, Of. 9",15001 Lima,Peru,+51 1 4744601,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
PRINTCOLOR ARTES GRAFICAS S.A.C,Ica Nor.847 Cdra. 3 Av.Tacna,15001 Lima,Peru,+51 1 4261078,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
IMPRENTA LA GACELA S C R LTDA,Jr.Pedregal Nor.206,15001 Lima,Peru,+51 1 3819111,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
DISTRIBUIDORA TEXTIL JUNABREX S.A.C,Jr.Giribaldi Nor.733,15001 Lima,Peru,+51 1 4020473,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
XIADANI EXPORT E IMPORT EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,Jr.Humbolt Nor.1428 Entre Giribalde Y Humbolt,15001 Lima,Peru,+51 1 4288989,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
VAMITEX S.A.C,Cl. 3 Nor.110 Al Final De La Av. Salaverry,15001 Lima,Peru,+51 1 7156554,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CORPORACION JEANNYS S.A.C.,Av.Ferrocarril Nro 2790 Coo. Los Molles,15121 Santa Anita,Peru,+51 1 4781322,Cintas textiles y lazos/Cintas y lazos/
INVERSIONES JILITEX S.A.C,Cl. 29 Nor.,15001 Lima,Peru,+51 1 2637225,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CAPTAX-A S.A.C.,Av.Mariscal Caceres Nro 318,15001 Lima,Peru,+51 1 3264509,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
WORFLY E.I.R.L,Cl. Humboldt Nor.1428 A Una Cdra.Del Parque Canepa,15001 Lima,Peru,+51 1 4730063,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TEXTIL SUSAN S.R.L,Prolog Gamarra Nor.564 1/2 Cdra. De Jiron Humboldt,15001 Lima,Peru,+51 1 4734898,"Tejidos de lino/Tejidos de lino, según uso/Tejidos de cáñamo y yute: (Productor) Tejidos de cáñamo(Productor) Tejidos de yuteTejidos de fibras vegetales no especificados en otra parte: (Productor) Tejidos de ramio"
TRAINING'S E.I.R.L. EXCLUSIVOS EN ROPA PARA AEROBICOS,Jr.Gamarra Nor.936 Entre Isabela Catolica Y Aviacion,15001 Lima,Peru,+51 99742695,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
INDUSTRIA GRAFICA IMPRESIONARTE S.A.C,Av. Jose Galvez Nor.1568 Altura Cdra.15 Av Arequipa,15001 Lima,Peru,+51 1 4714719,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
JAN ARIEN S.R.L.,Jr.Conchucos Nro 239 Int. 1 Urb. Barrios Altos Alt.Espalda Iglesia Santo Cristo,15001 Lima,Peru,+51 1 3284578,Hilos y torcidos de fibras químicas/Hilos y torcidos de seda/Hilos y torcidos de lana y pelo/Hilos y torcidos de algodón/Hilos y torcidos de fibras de lino/Tejidos de fibras químicas/Tejidos de lino/
DISTRIBUIDORA COMERCIAL ROCIO S.A,Jr.Hipolito Unanue Nor.1563,15001 Lima,Peru,+51 1 734033,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
ACRILICOS Y METALES S.A.C.,Pr Andahuaylas 1532 . 2do piso - La Victoria Alt Av El Sol Y Ruta A,15001 Villa El Salvador,Peru,+51 1 472-5116,"Fibras hechas a mano: (Productor) Fibras acrílicasTejidos, fibras sintéticas o artificiales: (Productor) Tejidos acrílicos para usos industriales"
CORPORACION GRAFICA MILAGROS E.I.R.L,Av. Isabel Chimpu Ocllo Nor.1323 Alt De La Planta Electrica,15001 Lima,Peru,+51 1 5278284,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
SELECT PRINT E.I.R.L,Grupo 10 Mza. O Lote. 19 Sec. 1 Alt. Av Los Angeles Con Av.Central,15001 Villa El Salvador,Peru,+51 1 2922691,Tejidos revestidos y encerados: (Productor) Servicios de encogimiento de tejidos
CRISTAL S.R.L,Av. Javier Prado Oeste Nor.865,15001 Lima,Peru,+51 1 2522157,Estampado de tejidos e hilos: (Productor) Servicios de estampado de tejidos de fibras químicasTejidos revestidos y encerados: (Productor) Servicios de gofrado y calandrado de tejidos
CASABET SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - CASABET S.R.L,Cl. Jose Piazzi Nor. Alt Colegio Del Pacifico,15001 Lima,Peru,+51 1 5315978,"Tejidos de lino/Tejidos de lino, según uso/Tejidos de cáñamo y yute: (Productor) Tejidos de cáñamo(Productor) Tejidos de yuteTejidos de fibras vegetales no especificados en otra parte: (Productor) Tejidos de ramio"
MULTISERVICIOS COLLAZOS & JOAQUIN S.A.C,Av. Luis Braille Nor.1597 Alt. Cdra.25 De Prol. Arica,15001 Lima,Peru,+51 1 4254772,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
COMERCIALIZADORA VICTOR CRUZ E.I.R.L,Jr.Acomayo Nor.229 Alt. Cdra.4 Av. Argentina,15001 Lima,Peru,+51 1 2580751,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
KURESA S A,Av.Las Aguilas Nro 160 C.P.Sta. Maria De Huachipa,15001 Lima,Peru,+51 1 2070555,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
MAR Y MODA S.A.C,Cl. Bajada Balta Nor.129,15001 Lima,Peru,+51 1 2410804,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
SCARLY MODA S.A.C,Cl. Asoc Nuevos Horizontes Nor.Mz. A,15001 Lima,Peru,+51 1 7792503,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CREACIONES F.M. S.A,Jr.Ayacucho Nor.166A,15001 Lima,Peru,+51 1 271067,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
SUPPLIER IMPORT SOCIEDAD ANONIMA CERRADA - SUPPLIER IMPORT S.A.C,Av. 6 De Agosto Nor.838 Costado De Registro Civil De Lima,15001 Lima,Peru,+51 1 3256770,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CORPORACION GEMA E.I.R.L,Jr.Alexander Von Humboldt Nor.1428 Espalda Del Parque Canepa,15001 Lima,Peru,+51 1 5519091,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
INSTITUTO TEXTIL DE LA MODA E.I.R.L,Cl. S/N Nor. Proyecto Integral Municipal 2Da Etapa,15001 Lima,Peru,+51 1 7198811,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TEXTILES LOTTE S.A.C,Jr.Lucanas 2Do Piso Nor.1267,15001 Lima,Peru,+51 1 4730088,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
DERIVADOS DEL ALGODON Y POLYESTER S.A.C.,Jr.Olmedo Nro 455,15001 Lima,Peru,+51 1 2814502,Hilos y torcidos de fibras químicas/Hilos y torcidos de seda/Hilos y torcidos de lana y pelo/Hilos y torcidos de algodón/Hilos y torcidos de fibras de lino/Tejidos de fibras químicas/Tejidos de lino/
GRAFICA MELUSA E.I.R.L,Jr.Puno Nor.409 Cruce Con Azangaro,15001 Lima,Peru,+51 1 4279823,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
CORESA PERU S.A.,Jr.Los Eucaliptos Mza. Mz.E Lote. Lt08,15001 Lima,Peru,+51 1 4301880,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
TEXTIL RESO E.I.R.L,Jr.Antonio Bazo Nor.1220,15001 Lima,Peru,+51 1 7191579,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
ASLAN TEXTILES S.A.C,Jr.Luis Galvez Chipoco Nor.181 Alt. Cdra.3 Av. Brasil,15001 Lima,Peru,+51 1 4245074,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CARTONERIA MEXICO S.A.C,Av. Mexico Nor.1960 A 2 Cuad. De Av San Luis,15001 Lima,Peru,+51 1 3601442,Estampado de tejidos e hilos: (Productor) Servicios de estampado al cuadro de tejidos
PLUMAS E.I.R.L,"Av. Comandante Espinar, 671 Miraflores",15001 Lima,Peru,+51 1 713 1300,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
SANTA COMPANY S.A.C. - SCOSAC,Jr.San Luis De Gonsaga Nor.801A Alt Cdra. 6 De Av Chimu,15001 Lima,Peru,+51 1 3751606,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TEXTIL VASQUEZ S.C.R.L,Nro Mz:W Int. L:33 Parq. Indust. El Asesor Car Central Paradero Los Angeles,15001 Lima,Peru,+51 1 5213027,"Tejidos de lino/Tejidos de lino, según uso/Tejidos de cáñamo y yute: (Productor) Tejidos de cáñamo(Productor) Tejidos de yuteTejidos de fibras vegetales no especificados en otra parte: (Productor) Tejidos de ramio"
DOLY FASHION SOCIEDAD ANONIMA CERRADA - DOLY FASHION S.A.C.,Jr.Junin Nro 465 Int. 122 A Media Cdra.De Av.Abancay,15001 Lima,Peru,+51 1 5334142,Cintas textiles y lazos/Cintas y lazos/
BARBER S.A.C,Av. Venezuela Nor.1545,15001 Lima,Peru,+51 1 4271598,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
INVERSIONES TORRE COLOR S.A.C,Cl. Pedro Bertonelli Nor.1020 Espalda De La Cdra. 10 De La Av San Juan,15001 Lima,Peru,+51 1 4550009,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
REPRESENTACIONES DAMARIS E.I.R.L,Cl. Solidaridad Nor.,15001 Lima,Peru,+51 1 236821,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
KUSKAYA S.A.C.,Conquistadores Nro 556,15001 Lima,Peru,+51 1 2220625,Hilos y torcidos de fibras químicas/Hilos y torcidos de seda/Hilos y torcidos de lana y pelo/Hilos y torcidos de algodón/Hilos y torcidos de fibras de lino/Tejidos de fibras químicas/Tejidos de lino/
E & M COMERCIAL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - E & M COMERCIAL E.I.R.L,Cl. Beethoven Nor.506,15001 Lima,Peru,+51 1 4751065,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
DISTRIBUIDORA TEXTIL MEM E.I.R.L,Cl. Hipolito Unanue Nor.1637 A 2 Cdras. Del Parque Canepa,15001 Lima,Peru,+51 1 2872048,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
INDUSTRIAS GRAFICAS PERUANAS S.A.C,Jr.La Bellotitas Nor.1169,15001 Lima,Peru,+51 1 3620170,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
TEXTIL GALLEGOS S.A.C,Av. Aviacion Nor.452 Tienda 134-Galeria Monleone,15001 Lima,Peru,+51 1 4730477,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
MAREDU REPRESENTACIONES S.A.C,Av. La Encalada Nor.1415 Blk. 204 2Do Piso,15001 Lima,Peru,+51 1 4480080,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
PAPELERA GRAFICA EL TREBOL S.R.L,Jr.Rufino Torrico Nor.320 Entre Jr.Ica Y Jr.Callao,15001 Lima,Peru,+51 1 4273190,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
TEXAGENCY S.A.C,Av. Salaverry Nor.3636,15001 Lima,Peru,+51 1 2642606,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
PATTS COLLECTION S.A.C,Parinacochas Nor.883,15001 Lima,Peru,+51 1 3249210,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
COMERCIAL RENE TORRES E.I.R.L,Jr.Canete Nor.381 Alt.Iglesia Las Nazarenas,15001 Lima,Peru,+51 1 4250433,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
ECO ORGANIZA PERU S.A.C.,Cl. Daniel Mu,15001 Lima,Peru,+51 1 3463621,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
ORIENTAL GROUP S.A.C,Av. Rep De Chile Nor.239 Alt Cdra. 1 Av Arequipa,15001 Lima,Peru,+51 1 3325260,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
JUAN F DIAZ CARRERAS S.A.C,Av. Del Ejercito O P.Aranibar Nor.248,15001 Lima,Peru,+51 1 616782,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
SERIMAGEN E.I.R.L,Jr.Cajamarquilla Nor. Alt. Av.Chimu Cdra. 9 Por Scotiabank,15001 Lima,Peru,+51 1 7800697,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
